"","Height_cm","Head_circumference_cm","Sex","Siblings","Handedness","Footedness"
"128",166.7,58.1,"Female",1,"Right","Right"
"129",169.7,NA,"Female",1,"Ambidextrous","Ambipedal"
"130",177.5,NA,NA,2,"Right","Right"
"131",152.1,NA,"Female",1,"Right","Right"
"132",172.7,58.1,"Female",1,"Right","Right"
"133",157.7,56.1,"Female",1,"Right","Right"
"134",167.3,60.1,"Male",3,"Right","Right"
"135",170.4,54.1,"Female",1,"Left","Ambipedal"
"136",172.7,60.1,"Female",1,"Right","Right"
"137",149.7,57.1,"Female",2,"Right","Right"
"138",169.9,57.1,"Female",1,"Right","Ambipedal"
"139",168.7,58.1,"Female",1,"Right","Right"
"140",171.7,60.1,"Female",2,"Right","Right"
"141",170.7,57.1,"Female",1,"Right","Right"
"142",173.7,61.1,"Male",0,"Right","Right"
"143",162.7,58.1,"Female",0,"Right","Right"
"144",169.7,61.1,"Male",1,"Right","Right"
"145",160.7,59.1,"Female",2,"Right","Right"
"146",168.7,59.6,"Female",1,"Right","Ambipedal"
"147",157.2,56.1,"Female",1,"Right","Right"
"148",159.7,63.1,"Female",2,"Right","Right"
"149",171.7,53.1,"Female",1,"Right","Right"
"150",156.7,57.1,"Female",2,"Right","Right"
"151",159.7,56.1,"Female",1,"Right","Right"
"152",172.7,NA,"Male",2,"Right","Right"
"153",201.7,56.1,"Male",2,"Right","Right"
"154",161.7,153.1,"Female",1,"Right","Right"
"155",180,71.1,"Male",1,"Right","Right"
"156",184.7,60.1,"Male",1,"Right","Right"
"157",167.7,NA,"Female",2,"Right","Right"
"158",167.7,58.1,"Female",2,"Right","Right"
"159",169.9,57.1,"Female",1,"Right","Right"
"160",151.7,58.1,"Female",2,"Right","Right"
"161",169.7,59.6,"Male",1,"Right","Right"
"162",165.7,56.6,"Female",1,"Right","Right"
"163",169.9,58.1,"Female",2,"Right","Right"
"164",170.4,59.1,"Female",1,"Left","Right"
"165",170.4,24.1,"Female",2,"Right","Right"
"166",154.7,56.1,"Female",1,"Right","Right"
"167",189.7,61.6,"Male",1,"Right","Right"
"168",160.7,57.6,"Female",9,"Right","Right"
"169",164.7,58.1,"Female",1,"Right","Right"
"170",160.7,21.1,"Female",2,"Right","Right"
"171",171.7,57.1,"Male",1,"Right","Right"
"172",185.7,59.1,"Male",2,"Right","Right"
"173",162.7,58.1,"Female",1,"Right","Right"
"174",178.7,58.1,"Female",1,"Right","Right"
"175",155.7,NA,"Female",1,"Right","Right"
"176",154.7,57.1,"Female",1,"Right",NA
"177",176.7,57.1,"Male",3,"Right",NA
"178",189.7,61.1,"Male",3,"Right",NA
"179",184.7,59.1,"Female",1,"Right",NA
"180",163.7,58.1,"Female",1,"Right",NA
"181",167.7,57.1,"Female",1,"Right",NA
"182",169.7,NA,"Female",2,"Right",NA
"183",162.7,58.6,"Female",3,"Right",NA
"184",162.7,NA,"Female",NA,"Right",NA
"185",169.7,58.6,"Female",1,"Right",NA
"186",167.7,58.1,"Female",1,"Right",NA
"187",159.7,60.1,"Female",2,"Right",NA
"188",159.7,58.1,"Female",2,"Right",NA
"189",164.7,59.1,"Female",2,"Right",NA
"190",163.7,59.1,"Female",0,"Right",NA
"191",162.3,NA,"Female",4,"Right",NA
"192",159.7,57.1,"Female",2,"Right",NA
"193",159.8,NA,"Female",1,"Right",NA
"194",173.7,55.1,"Male",2,"Right","Right"
"195",179.7,31.1,"Female",1,"Right","Right"
"196",179.7,58.1,"Male",2,"Right","Right"
"197",167.7,NA,"Female",1,"Right","Right"
"198",151.7,24.1,"Female",0,"Left","Right"
"199",166.7,NA,"Female",1,"Right","Right"
"200",169.7,NA,"Female",1,"Right","Right"
"201",188.7,62.1,"Male",3,"Right","Right"
"202",169.9,57.6,"Female",1,"Right","Right"
"203",162.2,57.1,"Female",1,"Right","Right"
"204",170.7,58.2,"Female",1,"Right","Right"
"205",59.7,23.1,"Female",0,"Right","Right"
"206",184.7,NA,"Male",6,"Right","Right"
"207",164.7,51.1,"Female",1,"Right","Right"
"208",165.7,57.1,"Female",2,"Right","Right"
"209",172.7,58.2,"Male",2,"Right","Right"
"210",164.7,57.1,"Female",3,"Right","Right"
"211",162.7,57.1,"Female",1,"Left","Right"
"212",175,59.1,"Female",0,"Right","Right"
"213",167.7,57.1,"Male",0,"Right","Right"
"214",162.7,56.1,"Female",1,"Right","Left"
"215",165.7,59.1,"Female",1,"Right","Right"
"216",172.7,59.1,"Female",1,"Right","Right"
"217",168.9,70.3,"Male",3,"Right","Left"
"218",168.6,NA,"Female",2,"Right","Right"
